SMILES,He,H2,N2,O2,CO2,CH4,URL,
*c1cc2c(cc1O)C1(c3ccccc3-2)c2ccccc2-c2cc(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(CC(C)(C)c4cc5oc6cc8c(=O)n(*)c(=O)c8cc6oc5cc43)CC7(C)C)c(O)cc21,,600,27.7,114,657,34,https://doi.org/10.1016/j.memsci.2013.01.011,
*c1cc2c(cc1Br)C(C)(C)CC2(C)N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,38,,0.55,3.6,13.3,0.44,https://doi.org/10.1021/ma051354j,
*c1ccc2c(c1)C(C)(C)CC2(C)N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,21,,0.25,1.7,6.5,0.19,https://doi.org/10.1021/ma051354j,
*c1c(C)c2c(c(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c1C)C(C)(C)CC2,,,8.52,37.2,140.4,8.12,https://doi.org/10.1021/jp050177l,
*c1c(C)c2c(c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c1C)C(C)(C)CC2,,,10.3,43.9,161.1,10.3,https://doi.org/10.1021/jp050177l,
*c1c(C)c2c(c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c1C)C(C)(C)CC2,,,22,83.4,328.8,23.9,https://doi.org/10.1021/jp050177l,
*c1c(C)c2c(c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c1C)C(C)(C)CC2,,,58.6,198.2,692.3,50.5,https://doi.org/10.1021/jp050177l,
*/C(C)=C(/*)[Si](C)(C)C,6500,17000,6300,9700,34000,15000,http://dx.doi.org/10.1021/ma991566e,MSA Membrane Database
*/C(C)=C(/*)C(C)C,2600,5800,1300,2700,11000,2900,http://dx.doi.org/10.1021/ma0341566,MSA Membrane Database
*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,1100,2600,560,1200,4900,1600,http://dx.doi.org/10.1021/ma991566e,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,1500,3600,340,1300,6500,430,http://www.sciencedirect.com/science/article/pii/S0376738809001070,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,1060,2332,238,786,3496,360,http://dx.doi.org/10.1021/cm071722t,MSA Membrane Database
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)CCC5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,1580,4230,369,1380,7340,457,http://dx.doi.org/10.1039/C4TA00564C,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(c3ccccc3-2)c2ccccc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,2200,6320,786,2640,13900,1100,http://dx.doi.org/10.1002/adma.201202393,MSA Membrane Database
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,2570,7760,525,2150,7140,699,http://dx.doi.org/10.1126/science.1228032,MSA Membrane Database
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,878,2200,232,720,2900,450,http://dx.doi.org/10.1126/science.1228035,MSA Membrane Database
*Oc1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccccc3)c2-c2ccccc2)cc1O*,320,671,68,221,1640,124,http://dx.doi.org/10.1021/ma501925j,MSA Membrane Database
*Oc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1O*,249,501,46,154,990,82,http://dx.doi.org/10.1021/ma501925j,MSA Membrane Database
*Oc1ccc(-c2c(-c3ccc(Br)cc3)c(-c3ccc(Br)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(Br)cc3)c2-c2ccc(Br)cc2)cc1O*,91.4,154,6.3,30.4,189,10.1,http://dx.doi.org/10.1021/ma501925j,MSA Membrane Database
*Oc1ccc(-c2c(-c3ccc(C#N)cc3)c(-c3ccc(C#N)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(C#N)cc3)c2-c2ccc(C#N)cc2)cc1O*,113,181,7.8,37.3,228,12.8,http://dx.doi.org/10.1021/ma501925j,MSA Membrane Database
*CN1CN(*)Cc2cc(C3(c4cc(*)c(*)c(C)c4)C4C[C@H]5CC3C[C@H](C4)C5)cc(C)c21,,161.4,11.24,40.2,200.5,18.7,http://dx.doi.org/10.1039/c4py00607k,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2nc4cc5c(cc4nc2cc1O3)C(C)(C)CC51CC(C)(C)c2cc3nc4cc(*)c(*)cc4nc3cc21,440,860,42,190,1100,62,http://dx.doi.org/10.1021/ma071846r,MSA Membrane Database
*Oc1ccc(C2(c3ccc4c(c3)Oc3cc5nc6cc7c(cc6nc5cc3O4)C(C)(C)CC73CC(C)(C)c4cc5nc6c(nc5cc43)CC(*)=C(*)C6)c3ccccc3-c3ccccc32)cc1O*,170,320,13,59,430,22,http://dx.doi.org/10.1021/ma071846r,MSA Membrane Database
*CN1CN(*)Cc2cc3c(cc21)C1c2ccccc2C3c2cc(*)c(*)cc21,2500,8039,629,2718,9709,905,http://dx.doi.org/10.1002/adma.201305783,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(-c6c(C)c(C)c(N7C(=O)c8cc(*)c(*)cc8C7=O)c(C)c6C)c(=O)c5cc4oc3cc21,260,530,47,150,1100,77,http://dx.doi.org/10.1002/adma.200702400,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(-c6ccc(C(c7ccc(N8C(=O)c9cc(*)c(*)cc9C8=O)cc7)(C(F)(F)F)C(F)(F)F)cc6)c(=O)c5cc4oc3cc21,190,360,23,85,520,27,http://dx.doi.org/10.1002/adma.200702400,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(-c6c(C)cc(-c7cc(C)c(N8C(=O)c9cc(*)c(*)cc9C8=O)c8ccccc78)c7ccccc67)c(=O)c5cc4oc3cc21,660,1600,160,545,3700,260,http://dx.doi.org/10.1002/adma.200702400,MSA Membrane Database
*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C2(CC(C)(C)c3cc5c(cc32)C(=O)N(*)C5=O)CC4(C)C)c(C)c1C,400,840,94,295,2180,170,http://dx.doi.org/10.1039/c3py00451a,MSA Membrane Database
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(CC(C)(C)c4cc6c(cc43)C(=O)N(*)C6=O)CC5(C)C)c3ccccc23)c2ccccc12,300,670,84,270,2154,168,http://dx.doi.org/10.1039/c3py00451a,MSA Membrane Database
*c1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccc(N3C(=O)c4cc5c(cc4C3=O)C3(CC(C)(C)c4cc6c(cc43)C(=O)N(*)C6=O)CC5(C)C)cc21,332,624,65,208,1523,129,http://dx.doi.org/10.1039/c3py00451a,MSA Membrane Database
*c1cc(C(c2ccc(O)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)c4ccccc4C5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,92,94,1.5,8.5,40,0.73,http://dx.doi.org/10.1016/j.memsci.2016.07.058,MSA Membrane Database
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C)c4ccccc4C5(C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,1182,3050,182,783,3700,216,http://dx.doi.org/10.1016/j.polymer.2016.08.075,MSA Membrane Database
*c1c(C)cc(-c2cc(C)c(N3C(=O)c4cc5c(cc4C3=O)C3(C(C)C)c4ccccc4C5(C(C)C)c4cc5c(cc43)C(=O)N(*)C5=O)c3ccccc23)c2ccccc12,913,2233,160,594,3154,211,http://dx.doi.org/10.1016/j.polymer.2016.08.075,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,6370,16900,2230,7470,33300,3420,dx.doi.org/10.1038/nmat4939,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(c3cc4c(cc3-c3cc5c(cc31)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)c1cc3c(cc1-2)C(C)(C)CCC3(C)C,2720,7190,1080,3200,17500,2100,dx.doi.org/10.1038/nmat4939,MSA Membrane Database
*CN1CN(*)Cc2c1ccc1cc3c(cc21)C1CC3c2cc3c4c(ccc3cc21)N(C*)CN(*)C4,1310,4050,200,999,3500,264,10.1039/C8TA00509E,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(c3ccccc3-2)c2ccccc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,1560,4330,340,1420,8850,532,10.1039/C8TA02601G,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(c3cc(C)c(C)cc3-2)c2cc(C)c(C)cc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,3110,9160,1150,3820,22300,2020,10.1039/C8TA02601G,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(c3ccccc3-c3cc4c(cc31)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)c1cc(C)c(C)cc1-2,1971,5460,463,1820,10900,878,10.1039/C8TA02601G,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(c3cc(C)ccc3-2)c2cc(C)ccc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,1930,4900,474,1760,10600,834,10.1039/C8TA02601G,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(c3cc(C(C)(C)C)ccc3-2)c2cc(C(C)(C)C)ccc2-c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,2060,5590,1080,2750,16400,2480,10.1039/C8TA02601G,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,660,1300,92,370,2300,125,https://www.sciencedirect.com/science/article/pii/S376738805000645,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2nc4cc5c(cc4nc2cc1O3)C(C)(C)CC51CC(C)(C)c2cc3nc4cc(*)c(*)cc4nc3cc21,440,860,42,190,1100,62,https://www.sciencedirect.com/science/article/pii/S376738805000645,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,760,1630,180,580,4390,310,http://www.sciencedirect.com/science/article/pii/S0376738808008284,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,740,1600,155,530,3700,240,http://www.sciencedirect.com/science/article/pii/S0376738808008284,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,1368,3580,727,1790,8319,,http://dx.doi.org/10.1021/ma9009017,MSA Membrane Database
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,23.6,14.3,0.09,0.72,2.7,0.03,http://www.sciencedirect.com/science/article/pii/S0376738810000141,MSA Membrane Database
*c1cccc(-c2nc3cc(C(c4ccc5oc(-c6cccc(*)c6)nc5c4)(C(F)(F)F)C(F)(F)F)ccc3o2)c1,857,1228,48,220,1014,41,http://www.sciencedirect.com/science/article/pii/S0376738810000141,MSA Membrane Database
*c1cccc(-c2nc3cc(-c4ccc5[nH]c(*)nc5c4)ccc3[nH]2)c1,1.05,0.6,0.0048,0.015,0.16,0.0018,http://www.sciencedirect.com/science/article/pii/S0376738806006375,MSA Membrane Database
*c1cc(-c2nc3cc(-c4ccc5[nH]c(*)nc5c4)ccc3[nH]2)cc(C(C)(C)C)c1,10.1,10.7,0.06,0.42,1.91,0.05,http://www.sciencedirect.com/science/article/pii/S0376738806006375,MSA Membrane Database
*c1ccc(C(c2ccc(-c3nc4cc(-c5ccc6[nH]c(*)nc6c5)ccc4[nH]3)cc2)(C(F)(F)F)C(F)(F)F)cc1,12.9,12.2,0.13,0.6,2.91,0.07,http://www.sciencedirect.com/science/article/pii/S0376738806006375,MSA Membrane Database
*Cc1ccc(C2(c3ccc(*)cc3)OC(=O)c3ccccc32)cc1,,74,2.391,11,72,2.88,http://www.sciencedirect.com/science/article/pii/S0376738806004625,MSA Membrane Database
*C(=O)n1c(*)nc2cc3nc4c5ccc(*)c6c(*)ccc(c(=O)n4c3cc21)c65,0.54,,0.00259,0.021,0.12,0.0017,http://www.sciencedirect.com/science/article/pii/S0032386198007770,MSA Membrane Database
*c1ccc(-c2ccc(C(*)(c3ccccc3)C(F)(F)F)cc2)cc1,84,114,6.6,25,166,10,http://www.sciencedirect.com/science/article/pii/S0376738808005851,MSA Membrane Database
*c1ccc(-c2ccc(-c3ccc(C(*)(c4ccccc4)C(F)(F)F)cc3)cc2)cc1,82,126,9,32,220,13,http://www.sciencedirect.com/science/article/pii/S0376738808005851,MSA Membrane Database
*c1ccc(Oc2ccc(C(*)(c3ccccc3)C(F)(F)F)cc2)cc1,29,28,0.69,3.5,17,0.65,http://www.sciencedirect.com/science/article/pii/S0376738808005851,MSA Membrane Database
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(*)(c5ccccc5)C(F)(F)F)cc4)cc3)cc2)cc1,12,11,0.15,0.91,4.2,,http://www.sciencedirect.com/science/article/pii/S0376738808005851,MSA Membrane Database
*c1ccc(-c2ccc(C(*)(C(F)(F)F)C(F)(F)F)cc2)cc1,390,470,41,120,470,34,http://dx.doi.org/10.1021/ma990301x,MSA Membrane Database
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,1500,3600,340,1300,6500,430,http://www.sciencedirect.com/science/article/B6TGK-4VKXC29-7/2/deae1d7301c3baf01486835549c6d224,MSA Membrane Database
*Oc1c(C)cc(*)cc1C,82.3,,3.5,14.6,65.5,4.1,http://dx.doi.org/10.1002/polb.1993.090311114,MSA Membrane Database
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,32.7,,1.5,7.7,39.9,2.7,http://dx.doi.org/10.1002/polb.1993.090311114,MSA Membrane Database
*Oc1ccc(-c2ccc(Oc3c(F)c(F)c(COC(C)(C)c4cccc(C(C)(C)OCc5c(F)c(F)c(*)c(F)c5F)c4)c(F)c3F)cc2)cc1,34,20,0.61,2.5,8.2,0.34,http://dx.doi.org/10.1021/ie100249j,MSA Membrane Database
*Oc1ccc(Cc2ccc(Oc3c(F)c(F)c(COC(C)(C)c4cccc(C(C)(C)OCc5c(F)c(F)c(*)c(F)c5F)c4)c(F)c3F)cc2)cc1,33,18,0.55,2.3,7.6,0.33,http://dx.doi.org/10.1021/ie100249j,MSA Membrane Database
*Oc1ccc(C(C)(C)c2ccc(Oc3c(F)c(F)c(COC(C)(C)c4cccc(C(C)(C)OCc5c(F)c(F)c(*)c(F)c5F)c4)c(F)c3F)cc2)cc1,30,17,0.48,2.1,6.4,0.32,http://dx.doi.org/10.1021/ie100249j,MSA Membrane Database
*Oc1ccc(C(c2ccc(Oc3c(F)c(F)c(COC(C)(C)c4cccc(C(C)(C)OCc5c(F)c(F)c(*)c(F)c5F)c4)c(F)c3F)cc2)(C(F)(F)F)C(F)(F)F)cc1,51,28,0.9,3.8,12,0.55,http://dx.doi.org/10.1021/ie100249j,MSA Membrane Database
*Oc1ccc(N2C(=O)CCC23CCC(=O)N3c2ccc(Oc3c(F)c(F)c(COC(C)(C)c4cccc(C(C)(C)OCc5c(F)c(F)c(*)c(F)c5F)c4)c(F)c3F)cc2)cc1,35,21,0.46,2.2,7.1,0.25,http://dx.doi.org/10.1021/ie100249j,MSA Membrane Database
*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(C(=O)c4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,,9.07,0.087,0.604,2.19,0.084,http://www.sciencedirect.com/science/article/pii/S0032386101002993,MSA Membrane Database
*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,,11.7,0.153,0.95,2.73,0.0822,http://dx.doi.org/10.1021/ma9921807,MSA Membrane Database
*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)c(C)c3)OC(=O)c3ccccc32)cc1C,,10.3,0.0978,0.87,2.6,0.0701,http://dx.doi.org/10.1021/ma9921807,MSA Membrane Database
*Oc1cc(C)c(C2(c3cc(C)c(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)cc3C)OC(=O)c3ccccc32)cc1C,,21.5,0.19,1.55,5.44,0.17,http://dx.doi.org/10.1021/ma9921807,MSA Membrane Database
*Oc1cc(C)c(C2(c3cc(C(C)C)c(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)cc3C)OC(=O)c3ccccc32)cc1C(C)C,,42.5,0.933,4.85,19.3,1.09,http://dx.doi.org/10.1021/ma9921807,MSA Membrane Database
*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)NC(=O)c3ccccc32)cc1,,9.91,0.0921,0.663,2.36,0.069,http://dx.doi.org/10.1002/(SICI)1097-4628(19970531)64:9%3C1725::AID-APP8%3E3.0.CO;2-H,MSA Membrane Database
*Oc1ccc(C(c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)c2ccccc2C(=O)O)cc1,,7.26,0.0485,0.489,1.81,0.0415,http://dx.doi.org/10.1002/(SICI)1097-4628(19970531)64:9%3C1725::AID-APP8%3E3.0.CO;2-H,MSA Membrane Database
*Oc1cc(C)c(C(c2cc(C(C)C)c(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2C)c2ccccc2C(=O)O)cc1C(C)C,,49.7,1.18,7.2,22.8,1.35,http://dx.doi.org/10.1002/(SICI)1097-4628(19970531)64:9%3C1725::AID-APP8%3E3.0.CO;2-H,MSA Membrane Database
*Oc1ccc(C2(c3ccc(Oc4ccc(C(=O)c5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,,7.51,0.0728,0.634,2.17,0.0564,http://dx.doi.org/10.1002/app.10006,MSA Membrane Database
*Oc1ccc(-c2ccc(-c3ccc(Oc4ccc(C5(c6ccc(*)cc6)c6ccccc6-c6ccccc65)cc4)c(C(F)(F)F)c3)s2)cc1C(F)(F)F,39.5,43.2,2.06,6.22,25.8,1.59,http://dx.doi.org/10.1021/cm0112789,MSA Membrane Database
*Oc1ccc(-c2cncc(-c3ccc(Oc4ccc(C5(c6ccc(*)cc6)c6ccccc6-c6ccccc65)cc4)c(C(F)(F)F)c3)c2)cc1C(F)(F)F,50,55,1.99,8.4,35.7,1.8,http://dx.doi.org/10.1021/cm0112789,MSA Membrane Database
*Oc1ccc(C(=O)c2ccc(-c3ccc(C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,8.9,8.9,0.129,0.75,3.3,0.14,http://dx.doi.org/10.1002/polb.1993.090310808,MSA Membrane Database
*Oc1ccc(C(=O)c2ccc(-c3ccc(C(=O)c4ccc(Oc5ccc(S(=O)(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,7.7,8.46,0.11,0.64,3.27,0.12,http://dx.doi.org/10.1002/polb.1993.090310808,MSA Membrane Database
*C(=O)c1ccc(C2(c3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,,9.2,0.0986,0.68,3.1,0.1,http://www.sciencedirect.com/science/article/pii/S0376738806004625,MSA Membrane Database
*C(=O)c1ccc(C2(c3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6ccc(C(=O)c7ccc(Oc8ccc(*)cc8)cc7)cc6)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,,7.5,0.0729,0.51,2.14,0.069,http://www.sciencedirect.com/science/article/pii/S0376738806004625,MSA Membrane Database
*C(=O)c1ccc(C2(c3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6cccc(C(=O)c7ccc(Oc8ccc(*)cc8)cc7)c6)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,,5.3,0.031,0.27,0.91,0.0276,http://www.sciencedirect.com/science/article/pii/S0376738806004625,MSA Membrane Database
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)c(-c2cccc(C)c2)c1,,3.8,0.029,0.2,1,0.024,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)c(-c2cc(C)cc(C)c2)c1,,4.6,0.053,0.33,1.6,0.05,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)c(-c2cccc(C(F)(F)F)c2)c1,,4.1,0.051,0.38,1.5,0.041,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,,21,0.54,3.3,8.7,0.38,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*Oc1ccc(Oc2cccc(*)c2C#C)c(-c2cccc(C)c2)c1,,6.8,0.07,0.45,1.9,0.05,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*Oc1ccc(Oc2cccc(*)c2C#C)c(-c2cc(C)cc(C)c2)c1,,9.6,0.17,0.94,3.5,0.06,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*Oc1ccc(Oc2cccc(*)c2C#C)c(-c2cccc(C(F)(F)F)c2)c1,,9.3,0.15,0.87,3.7,0.09,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*Oc1ccc(Oc2cccc(*)c2C#C)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,,35,1.12,6.6,19,0.83,http://www.sciencedirect.com/science/article/pii/S0032386105014084,MSA Membrane Database
*c1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,,0.27,1.49,5.72,0.12,http://www.sciencedirect.com/science/article/pii/S0032386196005496,MSA Membrane Database
*c1cccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)c1,,,0.08,0.49,1.66,0.04,http://www.sciencedirect.com/science/article/pii/S0032386196005496,MSA Membrane Database
*c1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,,,0.39,1.9,8.91,0.17,http://www.sciencedirect.com/science/article/pii/S0032386196005496,MSA Membrane Database
*c1cccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)c1,,,0.2,1,3.64,0.09,http://www.sciencedirect.com/science/article/pii/S0032386196005496,MSA Membrane Database
*Nc1cccc(NC(=O)c2ccc3c(c2)C(C)(C)CC3(C)c2ccc(C(*)=O)cc2)c1,17.7,,0.15,1.16,5.2,0.09,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1ccc(NC(=O)c2ccc3c(c2)C(C)(C)CC3(C)c2ccc(C(*)=O)cc2)cc1,18.3,,0.25,1.67,8.9,0.18,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2)cc1,19.2,,0.24,1.67,8.4,0.21,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(C)(C)CC6(C)c5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,16.9,,0.31,1.91,9.6,0.33,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1cccc2c(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cccc12,15.8,,0.12,0.94,4.1,0.09,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1cccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2)c1,11.9,,0.06,0.53,2.2,0.04,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,65.8,,1.36,7.35,35.3,0.91,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2C(F)(F)F)c(C(F)(F)F)c1,63.2,,1.3,7.23,31.2,0.9,http://www.sciencedirect.com/science/article/pii/S0032386102002768,MSA Membrane Database
*Nc1ccc(C(C)(C)c2ccc(NC(=O)c3ccc(Oc4cc(C(C)(C)C)c(Oc5ccc(C(*)=O)cc5)cc4C(C)(C)C)cc3)cc2)cc1,31,,0.46,3.11,13,0.47,http://www.sciencedirect.com/science/article/pii/S0376738806001475,MSA Membrane Database
